row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
g a 5,"Cro Q .' 5 4 g K2 g,",WAS a 2 - CD,",;'Ackgs.s* P 0- 0 ^,00Z rg",", ,""A w g 0 5 CD",30t1 0wrom g. 0. 0 ?,"4.3P1 f , ,T E S°;' ""gP,VCr •",T CD,,",tog<tt p2z2.2;q4 EiF,Q n 2. a. 5"
g m m,m m.,w m m,"1-, m.mm mmm., w","wm,4mm.m. mwoommtomm g .","m0, L.om",". ,","m.m. mo,m","m ,","mw.momm m.ow,mm"
"2,> E t","0,t",g,e.AtE E,"54,0%'88'5",g g,tft22,V.Met,g,8488'4N8
.0 PI,"5 mt,",5,&Ats g,"zwstt... ,",. g 2 sn..2.8,. g,5tOO8,m 5,"tc .438,.,"
.r- t,CO 0.,t:3 -,"- ,t,wt. z1",.....0.0,- ...ow,g,.888,4,",U5.8,m."
g,o oo,8,m. g ow CO,1...mw.00,5 003C.©,r-1,".,..",.;.',",,,,..',,,"
,8 08,4,"w.m,r. 8",00.00. mo.,", 03 to",5,.050',8,030 00
"2,.. ' i l t",wt,§ .-,"a . , 115","tzt . , ss..",?. 'it g t,8 .,a--IE:1,t .,atsgsu
". , P P ' g 2 p","P --""4 .8",z 72 t m P . 51S,"0 . 01 ''C""' wm48 61","!-. to too, ..!-. N-48W'Qt 5.4.=1,88m","P a , P 2 PP: . as . v.2 0■1>Y6","F- 1 .-1 ,",.:4 1 P WBV' --1.a,"P "" .: 4 Z","PIte'PPPP gwEg. ,c,e,pmaM"
"4,.. P P V ;2","p, Fp29","8 s,,",".4.0..7 q49t .. ,; V","._, 1,_,I, :- 688En g =1",t 900'P0 85=F4,A E,00.0 . - 4 4 g p,E,4.8e'Pe'0'V gasgsn
- 8 . P ; g,P gg,"c.., V g r'",-PPP PaEn P E,2-. V HEMen,. .:. 5 VVVV nEE,. V E,"VPPP l'EU,",to .1-',"Pe""VVVV2-' EEEEE5"
- - - c ° w S 8,- 8.R. mx,- CO g - . a5,"... W5=9 N . . ""i",". tt4tE 9 ,,tni •U 0 CO CA a5 5O bZ ,-,",- ..7' 'Z.; tO Pl-- . V EtIF' - ' 36 b: -4 ID:,- e' L3 -4,to 0101 'RES -4 5 o. cm,"- P 2 cc,","VV2-""V to 8.Tt.=er:,E ,Cn.-05"
8 g,o§' '' .,E,5EiS1 4,slillg-5s,I N E l a E g n,P E,V ill§,P L°,r' anaa.
P a -4 CO,om,". "":' 1 - -1 '-'",. '' 888ot w 8,..i.00 m mm.m8-400,". 8 , Stmm .m.m",. w . m,"is.w1; m,,m ,owm",g .,".. .. m.008,0E"
v E g,4' 2,.P s,.w .com sr-ls & -,. 208o g So.,"t3 . . 0., aa,ao",!. . - 1,.. cot8,. m 4,m m .. mE -.4 w... om
m . CO . !-. § °' 4,.:-' 8S m.,w s' D 8 m 2- ..,"g VP S'''AV m84,0 :', 5 m","Z'Z'V St'-t't4""-' m,....8",.r. El o VVVP a g 'S mo8m,. '3 ' 8,e'P.18es 88 : -A w m.-48,"8 ,4","0301 to 888'4gSg .mmm.,-4"
", w 2.","P """,w 1- . § r',g PP Mil l P E,":"" V W t §1-","1.4 '-'.. 0.2""2""."" F 1 ' a",5 v.,!- . .PP'v P'-' 1,5 E,03V:P2-' FiTE8P
