row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
,s .41.pl,"PE5154 ..,",P .;,nE 2'...14 R 4 _,EREP 4444r7,,,"-3-Gagg -nn . - m ,","E ,"
,ni,"°'°°P..""-1P",Z,"Gr;V. ,..",§,PMZGR,X m,S;AM°°R,a
,Iinn,......o,m,ggg,""" 2",Dmfmwo,,00p;0000,pi
,P. i ii,"-""P2",4,4E 0 _ _,P a,RREEE -,,"8 4i =""E",R _
,/ 1 > 01,P E P PAP 1 a,P a,EP aan,A a,PPERf aaaa.:,k m,"ERO""R4 ..:a",A 4
,1,"ERsgra .4 ,4",i .,Fri4 .i.4.,"s ,.,",QUER .a4aa,1 e,RIP P ER am,f a
,",1111",MERE: 4 4 ..,? 4,EPP 44a,E g,REARE sfacs-r4,E 1,AWHEE . .Zw14 ..,2 4
,ItiP1 amls,ar g ua ..r . -,q .,ERE rzrz m,4 g,RRERE -4-7a4,4 i,ERR = EP P .-r4r: -a,R e
itialallf Z V f,itialallf Z V f,"""""'ell'el",P,APP.,R,g iv4 . 9.41,R,mggmmmn *,* t
,1* 14,0...,",C.",ChOM,X,m0mNN,g,ar . .. * occ *,m
,al gill,000000,0,mO*,N,wommm0,0.,00m0000,m
,hi ii,ON■mNm,ch,A mg,g,gn A g.0,0,MVA■ONN,g
,ti Is 01,"- , --70 . =",A,tQA,n,sA pg. 4 .,A,"ZAW""'""°=",;
,ii 1,"""N""G""LI",P,GOZ,R,li:AOOG,,A.4184:0*och,m .4
Ati,Ati,""":""2""",R,PR,E,2° 4 R4 s,?,"46 E =""""",A
,1 i a,011M ..111,,lii ttl zz,a 1 1 .4,1,M,-II ii ii ii II,I 8 1 z 1
