row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
P g 10 '-ga,,"2 n v 6^ i g 8 gg 51 g "","" nma l -a",-m. A d,M R R ii win .:,A 00,mm.4 g ii A §,"M t s - , ..","4R A A 43 A ;2 A A -,-, .mm","43 , (4"
,Ill,ppolzmos4,,loogoi,14 7.,ca 2 mr .,A,00.m....,
g . g,"-,A f • g=t;",°°° °' Pg24,4,", 2 . R,",,.... _,. _,"...... -,..",
P. 1,MI,"4EAAARAWp,",b -,RAMA!,"A .,","4""4.% ....-•",76 el,"A""Q=RAP",R
1 .13 >,r.sel,WiRERRU -,:3,"R"". 6 ...N",R,MgR et,ei,"= ""PVI R",pl .
,1,ki § rn- E P. Li r. ^ P. - -7 a-,"6, m","3 P, E P. NN...",E t.-.,"g 1 i L "" :. N",/ M,"! . . 2 2 ' * ,f,","P, c4"
/111 H>,,"RMAR,Nr1971a 4 el aa",E a,rip aa -;,Q a,"rak ---,",§ a,ARWARI .. ..7,g
AiP§§ 2 . 03;.,,g2 SI 4 ;'3 g F4 41 g 4R N . 4 . - . N Mei,A d N,:: g A aaaa,§ g a -,mooVn 41' g A 2 ...7....,A m a,FR 48 iz ig Ft il 2 I mmeaul Vr. •-• ■,A w vi
"'SA si 14,..6.h I s StgAEgg",,"mr., -,m- N N N N el",n IS,"gg,...",,Vmml,g,mel . mmermr .■,$
"Z's z a e=...5 ..,",,-000-00-,0.,00--,,0-00,,000000-0,
1 1 Pi am,,"000,..<40000",V,-.N-• 0,V,00-. 0,,00000...N . - .,v
tZ 11 AN MI il,,....-m.0-mm,p,",oNone . ,",0,".-.0,,,,,",=,.1. 00sco...a0v,m
It,..C2g,"on... ,4,0=Invlapp",A,.a...,",-,,,,",ch.-.*A .,q,merNmNooNN,.4
tV 1,.CU§ /,"vel,m..mA,A.",A,ChvgN,%,ONog,G,"...N.-,",n
i /g1 I-.iii=,,N47!4AA'g4,: a.,"eN ra AW""",", C7 '",'A'A -. N,A _.,"A""A'A N '",A .-.
". 1 w 1 1 _ ....., ..; 0",,"118 "" t1S imirglIgg warZ>Zen A = 6 -'5 8 >u . a4 M",N i 11,Ms 4 EE'lil f,2 8 g gM,"- ail 814 1.1Fu""",V .g 8 e,in fi alg x M . .8 8i 8,i 1 2
