row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
.T. mw..,CO mm-mn,G,,,"03,-1M0N..0 M ..r. -",OWO,- 8,0,i
0100400,N 00000,N,00,00,00S.o....7 . 00,ONO,g,0,4
".m , s..-",".--.,- .",", .",,,"WOMMN ,.. MMO",000,I,,
442E1- ..02,- 0..4.0.,2 ...,"AF=,",4',gg i we4 8M C' .-4,"0'. """,M M,d,.. P
COO) .. _,"g-,,,mw",,c-o,c4Jcv,"to2camw=c,",00_,E,_,
i F,§ F . 7 3 M 2,0 gi -c,r g,c2,3F4444,"""24",a,A,
MEP,"M i""P.",i,22 N,2'4 N,"t ..17,2434 .-4 1.0 . - 7",'2,g,A,8 ...;
A44-',M Ms1.0-.N,M,m-.,NO,",040 . 1 . M040 ..",OON,"t.- ,",N,g
•-■0000,0 - . 0000,..-1,00,00,ogo...oco,000,8,0,CO M
4WM.-t0,"0 CCI , MM- .",,mr0,0..,"m...,0,-1.00","00-. ,. N",,0,"., 4"
=MONO 0 .-1 .,"0 0-m4,-,M,",g,m-.,Om,NerOMMNO,0000,g,,4
gxn- •-;,- 24'44,,:2: mr,.0.,"c . , , I04100 , 54,1 • 0","0000 ,-.1 M -'",,W,
".,-.M at:O=1",F 42%48 .- --,8,"2p,",", ca",c -,0,,,
g_ aam .N - A gg,E LE.',g,'2 IN,F g N- .,21 !-; g:' WrA MCON E■i _r,"'gg ,. 8",",e",,m n cu m
EWE. 10 . 04 . 4 -,":- .1g4 ..' , 0t_ c.,",g 4,c%2 MN,2' MM,"F w e gr"" 8 """" M e. N,IN ' ' ci .",'''IM -.,":1 , M",M M ...,.-1 P
3 gg EE u-c s aL6 -7,"0,- • - , , i EU- C, -.",3,000 8 g -7,"., MN","vt. 7.&MW0O ,04,mgM 4.c..TaZN CO -7","e,... 2",... a,m . -,2 g
