row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections …...,61,100.0,19,31.1,42,68.9,18,29.5
By type of case:,,,,,,,,
RCcases……………………………..,54,100.0,16,29.6,38,70.4,15,27.8
RMcases…………………………….,1,100.0,1,100.0,0,,0,
RDcases……………………………..,6,100.0,2,33.3,4,66.7,3,50.0
By type of election:,,,,,,,,
Consent elections…………………….,0,,0,,0,,0,
Stipulated elections………………….,51,100.0,16,31.4,35,68.6,16,31.4
Expedited elections………………….,0,,0,,0,,0,
Regional Director-directed elections ..,10,100.0,3,30.0,7,70.0,2,20.0
Board-directed elections…………….,0,,0,,0,,0,
