row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
22-CC-71___,"Boilermakers, Local Lodge #28 (Public Service Electric &Gas Co )","Sept 17, 1959",(1),"Sept 18, 1959","Sept 24, 1959",(I),,"Oct 5, 1959",Withdrawn
2-CC-524___,"Electrical Workers, Local 3 &*Team- sters Local 282 (Thomas Crimmins Co).","Sept. 18, 1959",(1),"Sept 24, 1959","Sept 29, 1959",(1),,,Settled
2-CC-525___,"*Teamsters, Local 816 (Montgomery Ward &Co . Inc )","Sept 18, 1959",(1),"Sept 18, 1959","Nov 5, 1959","Nov 5, 1959",,,"June 7, 1960"
10-CC-432__,"Sheetmetal Workers, Local 85 (Metal","Sept. 18, 1959",(I),,,(9,,"Feb. 10, 1960",Settled
7-CC-106___,"Fabricators). Typographical Union, Local 18 (High- land ParkerPrinters Inc , &American Mailer &Binders)","Sept 21, 1959",(1),,,(9,,,"Apr 4, 1960"
33-CC-63,"Carpenters, Local 1319 (U &CCon- struction Co )","Sept. 22, 1959",(1),,,(0,,"Tan. 22, 1960","Feb. 23, 1960"
3-CC-98___,"*Teamsters, Local 263 (A Cappione Inc )","Sept. 23, 1959",(1),,,"Sept 29, 1959",,"Apr 6, 1960",Settled
9-CD-45 ____,Huntington Building &Construction Trades Council (Paul Price &M. F. Picket),"Sept. 23, 1959",(1),,,TO,,"Mar., 1960",Settled
19-CC-129__,Idaho Falls Building &Construction Trades Council (New Construction Corp ),"Sept 23, 1959",(1),,,. (I),,"Jan. 29, 1960","Jan 12, 1960"
7-CC-112,Typographical Union &Local 40 (De-,"Sept 25, 1959",(1),"Sept 25, 1959","Sept 30, 1959","Sept 30, 1959",,,"Apr. 4, 1960"
' I5-CB-415__,"troit Newspaper Publishers Assn.) *Longshoremen, Intl Assn , Locals 1418 &1419 (New Orleans Steamship Assn et al )","Oct 5, 1959",(j),"Oct 5, 1959",Indef,,,"Apr. 8, 1960",Settled
1-CC-236___,"Rhode Island Building &Trades Coon- cil & James Daley, Sec. (C. G. Brunnckow Co)","Oct. 13, 1959",(1),,,TO,,"Mar. 11, 1960",Settled
2-CC-526___,"*Teamsters, Local 239 (Stan-Jay Auto Parts &Accessories Corp )","Oct 14, 1959",(1),,,"Nov. 17, 1959",,,"Feb 23, 1960"
I2-CC-61___,"Painters, Local 365 (Southern Florida Hotel &Motel Assn.).","Oct. 15, 1959",(1),,,"Oct 23, 1959",,,"Apr. 22, 1960"
17-CC-107__,"Plumbeis, Local 8 (Bishop Plumbing& Electric Co. &United Contractors Council).","Oct 15, 1959",(1),,,"Dec. 9, 1959",,,"Mar 16, 1960"
20-CC-186__,"*Teamsters, Local 94 (Jack Young's Supermarket).","Oct 19,",1959 (I),,,(i),,"Mar. 17, 1960",Withdrawn
t-00-527___,"Carpenters &Locals 1397, 2765 &Nassau County District Council of Car- penters (Rusco Window Co. Div. of F. C. Russell Co.).","Oct. 23, 1959",(1),,,(I),,"May 13, 1960",Settled
