row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,328,100.0,104,31.7,213,64.9,11,3.4
By type of case:,,,,,,,,
RC cases,284,100.0,93,32.8,185,65.1,6,2.1
EMcases,5,100.0,3,60.0,2,40.0,0,
RD cases,39,100.0,8,20.5,26,66.7,5,12.8
By type of election:,,,,,,,,
Consent elections,0,,0,,0,,0,
Stipulated elections,249,100.0,69,27.7,169,67.9,11,4.4
Expedited elections,I,100.0,0,,1,100.0,0,
Regional Director-directed elections,78,100.0,35,44.9,43,55.1,0,
Board-directed elections,0,,0,,0,,0,
