row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1-9,883,20 4,483,22 7,140,27 7,260,15 3
10-19,797,18 4,408,19 1,102,20 2,287,16 9
20-29,539,12 4,273,12 8,53,10 5,213,12 5
30-39,379,87,173,81,39,77,167,98
40-49,256,59,125,59,24,47,107,63
50-59,170,39,81,38,15,30,74 68,40
60-69,157,36,71,33,18,35,,44
70-79,123,28,56,26,14,28,53,31
80-89,100,23,45,21,10,20,45,26
90-99,90,21,34,16,12,24,44,26
100-149,309,7.1,150,70,29,57,130,7.6
150-199,146,34,63,30,12,24,71,42
200-299,147,34,66,31,7,14,74,44
300-399,85,20,33,16,9,18,43,25
400-499,50,12,25,12,9,1.8,16,9
500-599,28,.6,16,8,1,.2,11,.6
600-799,30,.7,10,.5,5,1 0,15,.9
800-099,16,.4,7,.3,2,4,7,.4
"3,000-1,999",23,5,8,4,2,4,13,.8
"2,000-2,999",7,.2,3,.1,1,.2,3,2
"3,000-3,999",1,(I),o,.0,1,2,0,.0
"4,000-4,999",o,.0,o,.0,o,.o,0,0
"5,000-9,999",i,(1),i,(1),o,.o,o,0
"10,000 and over",o,.o,0,o,o,o,o,.0
