row_label,col_1,col_2,col_3,col_4,col_5
,,",,.",00-0,,",.., ,.,"
ni i 1 =fie DE=,0M000,M,"00,PM",M,M ..
1 8 1 / g g u x mi 8,2rnem,?,-'A2,8,2 •
1 8 1 / g g u x mi 8,NG-0-,G,",0Nm",A,R
1 8 1 / g g u x mi 8,ARVP,a,EM g A,P.,i 4
1 8 1 / g g u x mi 8,Q'eR°V,X,AA.21 . 1,E,a .
". 1 i i 8 ""a 0 8 8 e 8 6",■ MN0M,A,0-0.s .,":!,",s
". 1 i i 8 ""a 0 8 8 e 8 6",0.000,,0000,,"m """
". 1 i i 8 ""a 0 8 8 e 8 6","....""",... 1,00-0,,Q
". 1 i i 8 ""a 0 8 8 e 8 6",■g-.0.-.,n,..N ..,,R
". 1 i i 8 ""a 0 8 8 e 8 6","-A=0""4",3,0 -71I,A,i
". 1 i i 8 ""a 0 8 8 e 8 6",8=2°2,R.,";12,-.1",E,
". 1 i i 8 ""a 0 8 8 e 8 6",E P E - 2,"E ,4",gwra,ii,n M
1,"W17$ """,,E s EE,k,4 '
• 11 o,gsrm el. WI,".7. , s Ti",Aw M,g ._7,g . M
"la 8 v, A 1 1","I...; iiii i E.,6",/ $,10E1,x ] /,1 i 1 i g
