row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
Thirty-sixth '4051 00.=,Annual o,"Report NN0t-''""","of the :=91.1."":""4",National 2,.. ..9;InFl-,Labor s,Relations -----,Board ::: ---
0 ... J. li -t'1 'tovE,0 .4,000MN0,".0 ,M. , f .",0,M.MI ■ M .,t ■ 01,NO.0000,Co 0.00
"5 , .. .82424 0,...,..,",R,0.....,. 7=2,,",...0.4.",g,,z 00.0
E 0 a .4 0 § t C FA,A g,"t- m-""4""""",2 S g,2 A,S5=AR -,,"°AR .011 , 0",N Co .000 . .
E 0 a .4 0 § t C FA,0,"- """"q4-""",2 142,A .,. 4.22 A,"N ,., N","-r.,,,,,. . ,. . n",g NO0C11
E 0 a .4 0 § t C FA,o a,24ns. .1,"g $iP ,--",. g ...r,?RH,"7. ,,, a","817,10=0 ..",....m A ... .-I .
E 0 a .4 0 § t C FA,a,tilmTas,g .ggs,8 a,§R§2g,Co a,821=St: .w.,2 Co ApS .
1 8 = a w 2 4 1 ' a 0,P. 0,00.00..0,4 zIgg,$,co4gg.*,2,..oNgo.om,"Co 0,2..."
1 8 = a w 2 4 1 ' a 0,N 0,000.o.,N mt...,Co,0000.,M,ONN0000,", I . ONOW"
1 8 = a w 2 4 1 ' a 0,A 0,..ogo=,n 842,il,Rgsn.,g .,", c400goNcim",% mr-noo
1 8 = a w 2 4 1 ' a 0,0 0,N ' w0 r -.,.0 o WNW' .ON,g .,MC.40n0 covoomm,r■ g,"M.04.0 . 7 , 0 . NW .",W . . OWO M . ■f.
1 8 = a w 2 4 1 ' a 0,m o,"""°Al2 .",ra N nER Co,§,ARERs M,E :,""" ATIrA",§ °SA.
1 8 = a w 2 4 1 ' a 0,.4 o,ag*°=a Co,'; gA -r,g § a,g S ' g .4,.. - .4.,"52PraA2 ...,-. ..",g .4 42178 . v-I
1 8 = a w 2 4 1 ' a 0,o _,227=2 . .,8 . . . 0f. a-,.4 R N 4,oc . 1 r- 48.N .r.T44,r- 7.' 06,".sw... ,s,.. ""°""4 ,-;",n 4' gm
1,1,PREIE,3 .. a'ra,Es-813 e,CUMFA a-raa,a,gtS123RN .4,I a gzI.U.
,,s.. E. 15 :' ..' olog OMtitj z›r4',.d 5 ' t Mt z > 4. zz.,". .1 g ,.","J 4 A hie gmgA 0,4,..ii.",11 0 t Z,'P. gs s s ls. 1 00P212 qpii 4 ZeoZW,? .4 6 z s 0 IVA'l Oh ■.4XA›
