row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
,ill,,,"""rz,",t,..g..,a,"6. , , ,ER geoeo",s
,lin,"Cf CD CD CD "" CD",42,CD CD cm,ell,CD CP ... CD CP,• - ■,CD C) CP CD CD 1+ CC m,r. P
,11,"C""D Cc "" .. : 2",m,"51 A 4,",ii,g A s s s,3,... 3. s CD CD CD Sa,"16,"
,"io""",A SR c' 2 c' ''',2 el,Si A P. •-■ . I . r4,ii,§ g; Si 53 2 -. •-■ I . - -.,U -,"A A A """" c' c' g . ,",a
,I,"71 1 c) "" "" 22",ii,rli ii R,R .-7,e !: 5 i ii,""" 5 ri","15 5i !I "". c) A '''.",15 .4
Ellii,Ellii,"s El '' 5t . "" !I",iE,ii § iI . 4 .,A a,ii 'il 1 0 i - -,A 4 .,"fi ii ii ' c) $. "" 5 .",",i k. """
t... A i 0 + 1 zi g 9,t... A i 0 + 1 zi g 9,"ii if , c, E $i :R",m .-.,"li s , i if ..",A ef,"fil :4 A 2 "" .-7 et",2 or;,"fl fi 5i 2 c, Ti ri. ...",g er
QMa 1411011,QMa 1411011,"el el 0 Mel ,I3",A,"A el c e , i",3,A . 8 . A A .,8,"r-aa,-.40.-,4",3
' i 11 i .-- al,1 11 I,CP C7 CD CD CD CD,CD,.. em en,mD,C) c. em CD CP,el,-- - 000 0 • - ■ CD CD CD,en
' i 11 i .-- al,ill,CD CD CD CD CD C7,CD,CD CP C7,CD,Cf CD CD C) CD,CP,CD C) CD CD CD .. C7,ec
' i 11 i .-- al,Li i,CD Co C! e. CP Co,cc,en 0N,ml,wl el ec Is C/,.1,0N000 en C) CD CD c.,WI
' i 11 i .-- al,,C) c. CD ml. C7 C7,cl,** N em,C7,en N vt at -.,Fl,el ec cl CP CD CD e .,CD
' i 11 i .-- al,"""il l-.",CI .e CD ml Co Co,sCo,co vo e■,;. 1,-. co ol '0O-.,s,"el ,e, 0. Cf cf c . em",Si
/ i 1 ra Z -,/ i 1 ra Z -,el en 0 N tO g,A,NI at .-A,M .,"at •-. * ?- ,ne-",4,0 Ot •-■ 0 N * --n,4
72I A 1 I a,I iMni AZ>A /I . 2,,1 Z,/it i 1 1,'S 1 1,i,I 0 1 Z ],I • i .5,
