row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
Total,5428,100 0,2302,100 0,1108,100 0,2018,o
1-9,1131,20 8,416,18 1,355,32 0,360,17 9
10-19,1171,21 6,495,21 5,249,22 5,427,21 1
20-29,710,13 1,325,14 1,124,11 2,261,12 9
30-39,468,86,211,92,,70,179,89
40-49,283,5.2,139,60,40,36,104,6 2
50-59,231,43,102,44,33,30,96,48
60-69,195,36,84,37,33,30,78,3.9
70-79,144,2.7,68,30,31,28,45,22
80-89,119,22,43,19,23,21,53,26
90-99,94,L7,47,20,17,15,30,15
100-149,286,5.3,120,52,41,37,125,62
150-199,163,30,71,31,15,13,77,38
200-299,174,32,74,32,28,25,72,26
300-399,87,16,32,14,16,14,39,19
400-499,53,10,23,10,6,5,24,"1,2"
500-599,29,5,16,7,3,3,10,5
600-799,28,5,10,4,4,4,14,.7
800-999,17,3,9,.4,1,1,7,3
"1,000-1,999",29,5,14,6,5,5,10,5
"2,000-2,999",10,2,2,.1,3,3,5,.2
"3,000-3,999",2 1,,,(I),,.0,,
"5,000-9,999",,,,. 0,,,,
"4,000-4,999",3,1,,.o,2,2,,.1
"10,000 and over",,0,,.o,,.o,0,0
