row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,Oi,A,6,AR2°A°,$,"A""'",n,
,MI,©,A,PA5AR 0,,°°,°,A
,ii,g,E,4ER 2g ° ...,i 4,V',g,A
,9i,E,i er,EHER 2 .-7 4,g d,24,g ..:,1 e
,1,1,1 4,iriP1 2 -,""";"" L'i.",E4 a,f a,I .1
,4111,E .4,b' e,El g RE° 4 .rag..7,i g,Ef a,4 7,"ci p,- , .4"
,P.PAI dills,v. :4,§ .4.,".F.F,,u, E v, a4g.:",F- 3 4.7,"A .,, 4",I 4,'6 ri eu
itisisoli z 1,itisisoli z 1,,"""","A2M°"" 4 s -",A -,A m,g,"E ,"
,al,•-■,ri,4/1 w ma 0 en 0,g,"v, .-.",wo,g
,14.1,0,,"•- . 00 - ,40",r .,00,0,"v,"
,ii,m,g i,"74*"" .0",A,...0,"..,",g
,"F"" 01",r..1,2,"M g W"" s °",E,"""",g,E
,1 E.,g,g,rivr....4 0,R,g-,A,R
hi,hi,3,E,"AV2AA""",§,Am,fa,M
