row_label,col_1,col_2,col_3,col_4,col_5
Contested unfair labor practice cases:,,,,,
From filing of charge to issuance of complaint,146,160,133,162,108
From issuance of complaint to close of hearing 1,24,41,53,56,52
From close of hearing to issuance of intermediate report 2,48,68,77,82,74
From intermediate report to issu- ance of Board decision 3,199,178,161,221,116
Total time from filing of charge to Board decision,417,447,424,521,350
Unfair labor practice cases closed in- formally from filing of charge to final disposition for-,,,,,
Cases settled,85,128,108,109,108
Cases withdrawn,65,48,43,47,41
Cases dismissed 4,140,94,85,91,79
