row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,Ill,,R,A§I°°',R,IA,R,:71
,Ib•f,,a,41 $ S P; 12 °,,° °,°,k
,1 I if,r2,g .,farm°,A,2 °,Si,"E. ,"
,1 1 > 01,E,; 2,' : 41-V .I E' a 4,4 H,IR,I,R
,I,A,I g,4'0 2 E- a- g,- - g,gE -,g R,I g .
nil,,$,R,514. E R =,. R,P,5,", m"
11 1 11!,,1,!,W5RA,1 .,P,!,1
15.14301/ $,Z,,3,"""iii""-",N,9 ',21,-;
111 .,,,,mftpl oce,m,No,N,Q
11 .11 1 lin,,,,,,,,
,hi ji,_,,../,,,,
,151 )1 5 &.1 <,,.I,,m,"e....,",m,g
,11 L) I E.,^,8,"A 2 4 •"""" °",A,"2 """,7 4 ',§
,,,,,§,,,2
1 21 rn 1 1 'd,,,,,I,ii P,1 I g,"I 1 I ' ,.!"
