row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,23,100.0,10,43.5,13,56.5,6,26.1
By type of case:,,,,,,,,
RC cases..............................................,19,100.0,10,52.6,9,47.4,6,31.6
RMcases..............................................,0,0.0,0,0.0,0,0.0,0,0.0
RD cases..............................................,4,100.0,0,0.0,4,100.0,0,0.0
By type of election:,,,,,,,,
Consent elections..................................,1,100.0,1,100.0,0,0.0,1,100.0
Stipulated elections..............................,12,100.0,4,33.3,8,66.7,2,16.7
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,10,100.0,5,50.0,5,50.0,3,30.0
Board-directed elections......................,0,0.0,0,0.0,0,0.0,0,0.0
