row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
,,,,0,a 5 0 CD,,,,
$;• P E E,:4 E,P Agra,P. E,E g EEEt g 5,.''' g P,EEP _n g,EFIE,P E,P ... EE ... ...
E g,"Y2,- .V., g",".p, .gaEH",2- g,ssEgE5g,E,g ilEE,ggg,"1.., E",nEu
g 11 P,5 ON,E .500,E,g e g a5 g 5,c .'=: ',Eng E,sEgE,,EgggE
P. E t,.t E,.t5gtiE,E,to g E g o85,E g,"e,a 1.1",ztE5,,.2a5na
2- E .,,g ...gtz,g,"05Mr,8,A00",g,.72=.1U g,8Z88,E,"aZw,44"
2 o o,oo,"2 o.A.,S55",n,"-.14,800000",S,tiNz5.A 1'2.,"ob,8=",g,"5A,otAg't"
S o,oo,N CDOWN00,P,14000000.,N,"CC O00 I- ,",0..00,:;:.,00000
gp,OP,a 04 . 0NN5,M,0N000I-.00,b t,"N. , N. -, N",NNPN,N,0A.0014
N ';: F+,5E,E .stEEE,E,g ia g ht4,E,ggga g,vEEE,E,FiSg
E 1,5E I,.5sEgg,E,taan.s.,il,Eg5s E,agH,g,".. w E""P"
. a .,.. E,. ...'..9 ...,,z...5..5,,..... s,..t1.5,5,50..t
..- E :T.:,. .. v .,". ...,ss",t,....z..t,s,F154t. t,..11.,n,",Lizcosz"
"- . ""","."" ""","0.0a"".",,00.0.-,"""",0000 -,0.-0,C.,"0000,-,"
K o,om 5,000mAIA,o,"000N,00.,00",A.,"owoo -,","oN,,Aa.",0,.A.A.Awo
"AL A. N,",o'N1 8,"ooA5,48",co,,0ws0A00.A0 5,r-lo.o 5,A.-4.A.Alt1,,owoNzA
