row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,249,100.0,89,35.7,153,61.4,6,2.4
By type of case:,,,,,,,,
RC cases...............................................,215,100.0,81,37.7,127,59.1,6,2.8
RMcases..............................................,8,100.0,2,25.0,6,75.0,0,0.0
RD cases...............................................,26,100.0,6,23.1,20,76.9,0,0.0
By type of election:,,,,,,,,
Consent elections..................................,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections..............................,135,100.0,31,23.0,99,73.3,4,3.0
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,114,100.0,58,50.9,54,47.4,2,1.8
Board-directed elections.......................,0,0.0,0,0.0,0,0.0,0,0.0
