row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,69,1000,26,37 7,43,62 3,52,75 4
By type of case,,,,,,,,
RC cases,57,1000,23,404,34,59 6,44,77 2
RM cases,2,100 0,0,00,2,1000,0,00
RD cases,10,100 0,3,300,7,700,8,800
By type of election,,,,,,,,
Consent elections,1,100 0,0,,1,t000,0,
Stipulated elections,43,1000,16,372,27,628,36,837
Expedited elections,0,,0,,0,,0,
Regional director-directed elec- tions,15,1000,7,467,8,533,10,667
Board-directed elections,10,1000,3,300,7,700,6,600
