row_label,col_1,col_2,col_3,col_4,col_5
1,"kit ,fi",0 gi .,.W g.2,. d,"0 r*,9 o o.4do"
b,"h Z st, I","pi , 4 ....",,-.0,n a ei o •
"1 ri , i i",q ?.,no g 2,q o,o d,oomo ddeio
8 a 'kg z,A,"A e,",0,0,0 0-0
cab. 0,q 8,"a!1"". FL , A",0 c;,* e;,O■r.:0 cs .A -c;
"8 I h , Z",w,*■,,ON,0.■0
1 kr a il -ogp z-,,,0,,g.gggg
8 ij Z,az .,S. .,0,0,00■0
1 0011,g,.P; .,2,g,gngg
Z,= ',gm,,0,ogoo
1 k ra ii s,.... g,01: .0,g,g,g 5 g g
m u kg z,"..., 8 a","..,. IQ r.:",i.-,,".......mm ""V.'"
1 killj a,q §,",.! * --",q,".""! .","0 "" s ' e4 q"
6 Z 1 - 11,a cu,a a ■,- e•I,,"....-. ••• 1"" .• (.4"
f..) 51 kit h,g M,i g,2,2,ggqg
1 a 5 o V t t5,1 ... e A i,RR I :a • i 1 11 M: ii. 1 -8 ill p j 5 M,ip n . ... 1 - A 1 A l . i 1,"2 2AR"" .s . 1 1 Q A 1",I 1111 1-111A 1 i .g I 8 I i E.. 5 I• St R 0 0 -
