row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,601,100.0,195,32.4,368,61.2,38,6.4
By type of case:,,,,,,,,
RC cases,513,100.0,173,33.7,321,62.5,19,3.8
Rh! cases,20,100.0,4,20.0,11,55.0,5,25.0
RD cases,68,103.0,18,26.5,36,52.9,14,20.6
By type of election:,,,,,,,,
Consent elections.,12,100.0,5,41.7,6,50.0,1,8.3
Stipulated elections,447,100.0,140,31.3,281,62.9,26,58
Expedited elections,0,,0,,0,,0,
Regional Director-directed elections,136,100.0,49,36.0,76,55.9,11,8.1
Board-directed elections..,6,100.0,1,16.7,5,83.3,0,0.0
