row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
.0..8,,F.rOVQ _,R N,k g R -4.,"R ""","AMR .4,6,a",k A,EEMF4 .:aa,t.
MI,Mg,c•0 A°4 _,8,n-m,s _r,2°P g 4 00.■...,id vi.,-7.°°°°°,
I,gill,Q00Q00,,pi,"r_ .. , 5",vape,E,"c""..14....",
11 8,,zr^°R° 2 *,e,"5R .15 _ ,",i N,"5E.4 1 - nif . , ,",. g.,"Ug""m4",
> i,4o§,3$°$42 -; - ''',2 5,VA§ rfi&4,$ -7 -,"...-.- km4gd en1 1 ;1,4:- . 1",- m 7 .7,"r......-..--- Q.b,...tg ne4-- - --",
,.§,"OR°A8g -N m-- , -.",g m N,"VAR m-m ,O.FV:3",g - t,8R2 -N.m N. NVINN,K 0',.718Mggit c. r - m '-' a-7 -,
All§,,"RR a mi ..,",,"=12'"" 2,. : 5 _ _","§ a """,4.21 aaa§.;,4,"g""'""e"""" ,77,54""-R",
tin/,,"W2C.Z. i ..,-",5 ..r,"1.1 §§ ,Ka4",R K,FERRA dwrm..4,"R. , 4","R@RRE.0 ,4. N",r .:.
MIS Ais si ttel,,- N -V°R,$,APR,$,sor.. -,.;- 7.,AR%'''''''''P,
i;Psils 4 m .,,ONOMOO,N,r■FN,A,.-.0.-.0N,V,CM00000,
"I .1 ill ,Vg '11 :g",,A-■00.-.00,N,0■00,"0,","VV,0...0",N,"0,4,40000",
P Eg MI,,"'""°°' "" N",R,A gg,g,RE: gg -,7.,00e4.-.N...-.t.• --,
im gi,4 0 §,vv ° p -2,A,2A$,§,APfAsQ,A,2ARmNmm,
1 0 a (Ji 1,,"ws""Wr-2",s,QRA,R,24*R8,2,"AGQ""'vRa",
til Hen,,"c ""--mmm",5,EG. F 4 .,g,"s= , 9 . A. n",1 1,"RtIm"""":""51-7",
