row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,25,100.0,11,44.0,14,56.0,5,20.0
By type of case:,,,,,,,,
RC cases..............................................,22,100.0,11,50.0,11,50.0,5,22.7
RMcases..............................................,0,0.0,0,0.0,0,0.0,0,0.0
RD cases..............................................,3,100.0,0,0.0,3,100.0,0,0.0
By type of election:,,,,,,,,
Consent elections..................................,2,100.0,0,0.0,2,100.0,0,0.0
Stipulated elections..............................,14,100.0,8,57.1,6,42.9,5,35.7
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,9,100.0,3,33.3,6,66.7,0,0.0
Board-directed elections......................,0,0.0,0,0.0,0,0.0,0,0.0
