row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
- All representation elections_ _ _,129,100 0,41,31.8,88,68.2,7,5 4
By type of case,,,,,,,,
RC cases,123,100.0,40,32.5,83,67.5,6,4 9
RM cases,1,100 0,0,,1,100.0,0,
RD eases,5,100.0,1,200,4,80.0,1,200
By type of election,,,,,,,,
Consent elections,10,100.0,4,40 0,6,60.0,0,
Stipulated elections,86,100 0,27,31 4,59,68.6,4,4.7
Expedited elections,0,,0,,0,,0,
Regional director-directed elec- tions -,31,100 0,10,32.3,21,67 7,3,9.7
Board-directed elections,2,100 0,0,,2,100.0,0,
