row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,155,100 0,41,26 5,114,73 5,41,26 5
By type of case,,,,,,,,
RC cases,144,100 0,35,24 3,109,75 7,36,25 0
RM cases,2,100 0,1,500,1,500,0,0
RD cases,9,100 0,5,556,4,444,5,556
By type of election,,,,,,,,
Consent elections,7,100 0,2,28 6,5,71 4,2,28 6
Stipulated elections,107,100 0,31,29 0,76,71 0,29,27 1
Expedited elections,1,100 0,1,100 0,o,,0,
Regional director-directed elections,35,100 0,6,17 1,29,82 9,10,28 6
Board-directed elections,5,100 0,1,20 0,4,80 0,o,
