row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
Total number of cases closed__,7442,100 0,6414,100.0,546,100 0,482,100 0
Consent election,1888,25 4,1739,27 1,98,17 9,51,10 6
Before notice of hearing,1207,16 2,1116,17 4,70,12 8,21,4 4
"After notice of hearing, before hearing opened",624,8 4,575,9 0,21,3 8,28,5 8
"After hearing opened, before Board decision",57,8,48,7,7,1.3,2,4
Stipulated election,1160,15 6,1082,16 9,51,9 3,27,5 6
Before notice of hearing,574,7 7,529,8 3,35,6 4,10,2 1
"After notice of hearing, before hearing opened",502,6 8,481,7 5,10,1 8,11,2 3
"After hearing opened, before Board decision",77,1 0,65,1 0,6,1 1,6,1 2
After postelection hearing and decision,7,1,7,' 1,0,0,0,0
Withdrawn,1796,24 1,1469,22 9,185,33 9,142,29 5
Before notice of hearing,1040,14 0,845,13 2,104,19 0,91,18 9
"After notice of hearing, before hearing opened",577,7 7,467,7 3,67,12 3,43,8 9
"After hearing opened, before Board decision",88,1 2,72,1 1,9,1 7,7,1.5
After Board decision and direc- tion of election,91,1 2,85,1 3,5,9,1,2
Dismissed,1194,16 0,895,13 9,121,22 2,178,36 9
"Before notice of hearing After notice of hearing, before",583,7 8,400,6 2,82,15 0,101,20 9
"hearing opened After hearing opened, before",155,2 1,117,1 8,12,2 2,26,5 4
Board decision,29,4,26,4,0,.0,3,.6
By Board decision,1 427,5.7,352,5 5,27,5 0,48,10 0
Board-ordered election,1392,18 7,1217,19 0,91,16 7,84,17 4
Otherwise,12,2,12,. 2,0,0,0,0
