row_label,col_1,col_2,col_3,col_4,col_5
"Pending July 1, 1962",6704,2961,1181,1633,929
Received fiscal 1963,25.371,10663,5246,6.248,3 214
On docket fiscal 1963,32075,13624,6427,7881,4143
Closed fiscal 1963,24.678,10338,5171,5 969,3.200
"Pending June 30, 1963",7397,3286,1256,1912,943
,Unfair labor practice cases,Unfair labor practice cases,Unfair labor practice cases,Unfair labor practice cases,Unfair labor practice cases
"Pending July 1, 1962",4624,1733,593,1532,766
Received fiscal 1963,14166,4667,1679,5495,2325
On docket fiscal 1963,18790,6400,2272,7027,3091
Closed fiscal 1963,13605,4412,1623,5240,2330
"Pending June 30, 1963",5185,1988,649,1787,761
,Representation cases,Representation cases,Representation cases,Representation cases,Representation cases
"Pending July 1, 1962",2060,1228,• 588,81,163
Received fiscal 1963,11116,5996,3567,664,889
On docket fiscal 1963,13176,7224,4 155,745,1 052
"Closed fiscal 1963 Pending June 30, 1963","10,981 2,195","5,926 1,298","3,548 607",637 108,870 182
,Union-shop deauthorization cases,Union-shop deauthorization cases,Union-shop deauthorization cases,Union-shop deauthorization cases,Union-shop deauthorization cases
"Pending July 1, 1962",20,,,20,
Received fiscal 1963,89,,,89,
On docket fiscal 1963,109,,,109,
Closed fiscal 1963,92,,,92,
"Pending June 30, 1963",17,,,17,
