row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,67,100.0,22,32.8,45,67.2,31,46.3
By type of case.,,,,,,,,
RC cases,55,100.0,20,364,35,63.6,27,49.1
RMcases,3,100.0,0,0.0,3,100.0,0,
RD oases,9,100.0,2,22.2,7,77.8,4,44.4
By type of election.,,,,,,,,
Consent elections,1,100.0,0,0.0,1,100.0,0,
Stipulated elections.,46,100.0,17,47.0,29,63.0,23,50.0
Eispedited elections,0,,0,,0,,0,
Regional Director-directed elec- tions,15,100.0,4,26.7,11,73.3,6,40.0
Board-directed elections.,5,100.0,1,20.0,4,80.0,2,40.0
