row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections__ _,1313,100 0,355,27 0,921,70 2,37,2 8
By type of case,,,,,,,,
RC cases,1242,100 0,347,279,866,698,29,23
RMcases,55,100 0,7,12 7,41,74 6,7,12 7
RD cases,16,100 0,1,6 3,14,87 4,1,6 3
By type of election,,,,,,,,
Consent elections,248,100 0,47,19 0,197,79.4,4,1 6
Stipulated elections,615,100 0,177,28 8,422,68 6,16,2 6
Expedited elections,3,100 0,1,33 3,1,33 3,1,33 3
Regional director-directed elec- tions,415,100 0,122,29 4,279,67 2,14,3 4
Board-directed elections,32,100 0,8,25 0,22,68 7,2,6 3
