row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,31,100.0,12,38.7,19,61.3,11,35.5
By type of case:,,,,,,,,
RC cases...................................................,26,100.0,9,34.6,17,65.4,9,34.6
RMcases..................................................,0,0.0,0,0.0,0,0.0,0,0.0
RD cases...................................................,5,100.0,3,60.0,2,40.0,2,40.0
By type of election:,,,,,,,,
Consent elections.....................................,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections..................................,25,100.0,11,44.0,14,56.0,10,40.0
Expedited elections..................................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections.......,6,100.0,1,16.7,5,83.3,1,16.7
Board-directed elections..........................,0,0.0,0,0.0,0,0.0,0,0.0
