row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,65,1000,21,323,44,677,32,492
By type of case,,,,,,,,
RC cases,53,100 0,18,340,35,660,27,509
RM cases,2,100 0,o,0 0,2,100 0,0,00
RD cases,10,100 0,3,300,7,700,5,500
By type of election,,,,,,,,
Consent elections,1,100 0,o,00,I,1000,0,00
Stipulated elections,41,100 0,14,34 1,27,65 9,23,56 1
Expedited elections,0,,0,,0,,o,
Regional Director-directed elections,15,1000,4,267,11,733,6,400
Board-directed elections,8,1000,3,37 5,5,62 5,3,37 5
