row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,199,100.0,68,34.2,128,64.3,3,1.5
By type of case:,,,,,,,,
RC cases...............................................,173,100.0,64,37.0,106,61.3,3,1.7
RMcases..............................................,4,100.0,0,0.0,4,100.0,0,0.0
RD cases...............................................,22,100.0,4,18.2,18,81.8,0,0.0
By type of election:,,,,,,,,
Consent elections..................................,4,100.0,2,50.0,2,50.0,0,0.0
Stipulated elections..............................,100,100.0,26,26.0,71,71.0,3,3.0
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,95,100.0,40,42.1,55,57.9,0,0.0
Board-directed elections.......................,0,0.0,0,0.0,0,0.0,0,0.0
