row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
Totals-all types,74,sa,6,33,31,2,41,37,4
NLRB-initiated actions or interventions,21,19,2,12,10,2,9,9,0
To enforce subpena,5,5,0,5,5,0,0,0,0
To restrain dissipation of assets by respondent,3,3,0,1,1,0,2,2,0
To defend Board's jurisdiction,9,8,1,5,4,1,4,4,0
To assert proper standard for rejection in Bankruptcy Code,4,3,1,1,0,1,3,3,0
Action by other parties,53,49,4,21,21,0,32,28,4
To restrain NLRB from,39,35,4,14,14,0,25,21,4
Proceeding in R case,8,7,1,4,4,0,4,3,1
Proceeding in unfair labor practice case,26,23,3,5,5,0,21,18,3
Proceethng in backpay case,0,0,0,0,0,0,0,0,0
Other,0,0,0,0,0,0,0,0,0
Reviewing under 10(f) unreviewing order,5,5,0,5,5,0,0,0,0
To compel NLRB to,14,14,0,7,7,0,7,7,0
Issue complaint,4,4,0,2,2,0,2,2,0
Seek injunction,0,0,0,0,0,0,0,0,0
Take action in R Case,0,0,0,0,0,0,0,0,0
Comply with Freedom of Information Act ',7,7,0,4,4,0,3,3,0
Pay Attorneys fee under EAJA,1,1,0,0,0,0,1,1,0
To initiate contempt proceedings,1,1,0,1,1,0,0,0,0
. To compel Board agent to appear as witness,1,1,0,0,0,0,1,1,0
