row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,36,100.0,11,30.6,25,69.4,10,27.8
By type of case:,,,,,,,,
RC cases...............................................,35,100.0,11,31.4,24,68.6,9,25.7
RMcases..............................................,0,0.0,0,0.0,0,0.0,0,0.0
RD cases...............................................,1,100.0,0,0.0,1,100.0,1,100.0
By type of election:,,,,,,,,
Consent elections..................................,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections..............................,25,100.0,6,24.0,19,76.0,5,20.0
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,11,100.0,5,45.5,6,54.5,5,45.5
Board-directed elections......................,0,0.0,0,0.0,0,0.0,0,0.0
