row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,282,100.0,115,40.8,164,58.2,3,1.1
By type of case:,,,,,,,,
RC cases...............................................,252,100.0,107,42.5,143,56.7,2,0.8
RMcases..............................................,1,100.0,0,0.0,1,100.0,0,0.0
RD cases...............................................,29,100.0,8,27.6,20,69.0,1,3.4
By type of election:,,,,,,,,
Consent elections..................................,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections..............................,204,100.0,73,35.8,130,63.7,1,0.5
Expedited elections..............................,1,100.0,0,0.0,1,100.0,0,0.0
Regional Director-directed elections....,77,100.0,42,54.5,33,42.9,2,2.6
Board-directed elections.......................,0,0.0,0,0.0,0,0.0,0,0.0
