row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
Total,12260,", 9, 738",+25 9,3815,"I 2,427",+57 1,8445,7311,+15 5
Boston,929,711,+30 7,272,144,+88 9,657,s 567,+15 9
New York,1506,1227,+22 7,504,334,+50 9,1002,893,+12 2
Buffalo,398,277,+43 7,134,60,+123 3,264,217,+21 7
Philadelphia,552,393,+40 5,148,70,+111 4,404,323,+25 1
Baltimore,660,515,+28 2,204,136,+50 0,456,379,+20 3
Pittsburgh.,382,295,+29 5,88,73,+20 5,294,222,+32 4
Detroit,436,420,+3 8,153,127,+20 5,283,293,-3.4
Cleveland,572,447,+28 0,193,134,+44 0,379,313,+21 1
Cincinnati,567,476,+19 1,159,117,+35 9,408,359,+13 6
Atlanta,701,447,+56 8,249,164,+51 8,452,283,+59. 7
Indianapolis,354,'174,+103 4,103,51,+102 0,251,123,+104 1
Chicago,914,848,+7 8,332,199,+66 8,582,649,-10 3
St. Louis,380,315,+20 6,123,82,+50 0,257,233,+10 3
New Orleans,471,326,+94 5,120,77,+55.8,351,249,+41 0
Fort Worth,605,569,+6 3,164,142,+15 5,441,427,+3 3
Kansas City,493,332,+48 5,145,95,+52 6,348,237,+46 8
Minneapolis_ __ ___,382,366,+4 4,133,79,+68 4,249,287,-13 3
Seattle,430,301,+42 9,99,60,+65 0,331,241,+37 3
San Francisco,585,361,+62 0,184,73,+152. 1,401,288,+39. 2
Los Angeles,784,681,+15 1,258,144,+79 2,526,537,-2 1
Hawaii,95,86,+10 5,12,8,+50 0,83,78,+6 4
Puerto Rico,64,170,-62 4,38,57,-33 3,26,113,-77 0
