row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,60,100 0,14,233,46,76 7,11,183
By type of case,,,,,,,,
RC cases,50,100 0,14,28 0,36,72 0,10,20 0
RM cases,2,100 0,0,0 0,2,100 0,0,0 0
RD cases,8,100 0,0,0 0,8,100 0,1,12 5
By type of election,,,,,,,,
Consent elections,0,,0,,0,,0,
Stipulated elections,39,100 0,12,30 8,27,69 2,7,17 9
Expedited elections,3,100 0,1,33 3,2,66 7,1,33 3
Regional director-directed elections,15,100 0,1,6 7,14,93 3,3,20 0
Board-directed elections,3,100 0,0,0 0,3,100 0,0,0 0
