row_label,col_1,col_2,col_3,col_4,col_5
"Eligible voters, total",530811,134122,131666,263230,1793
"Valid votes, total",466809,118028,117989,229269,1523
"RC cases,5 total",4003,1728,1062,1.213,
Eligible voters,471709,121276,123564,226869,
Valid votes,416911,106948,110667,199290,
"RMcases,5 total",212,91,47,74,
Eligible voters,44286,8811,3622,31853,
Valid votes,36531,7380,3155,25996,
"RD cases,5 total",157,50,27,80,
Eligible voters,13002,4022,4480,4500,
Valid votes,11825,3689,4167,3969,
"UD cases,5 total",20,1,0,1,18
Eligible voters,1814,13,0,8,1793
Valid votes,1542,11,0,s,1 523
