row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections............................,237,100.0,79,33.3,151,63.7,5,2.1
By type of case:,,,,,,,,
RC cases...............................................,217,100.0,74,34.1,137,63.1,4,1.8
RMcases..............................................,2,100.0,1,50.0,1,50.0,0,0.0
RD cases...............................................,18,100.0,4,22.2,13,72.2,1,5.6
By type of election:,,,,,,,,
Consent elections..................................,4,100.0,0,0.0,4,100.0,0,0.0
Stipulated elections..............................,119,100.0,29,24.4,87,73.1,2,1.7
Expedited elections..............................,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections....,114,100.0,50,43.9,60,52.6,3,2.6
Board-directed elections.......................,0,0.0,0,0.0,0,0.0,0,0.0
