row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All representation elections,89,100 0,24,270,65,73 0,27,303
By type of case,,,,,,,,
RC cases,80,100 0,20,25 0,60,75 0,22,27 5
RMcases .,1,100 0,0,,1,100 0,1,100 0
RD cases,8,100 0,4,500,4,500,4,500
By type of election,,,,,,,,
Consent elections,o,,o,,o,,o,
Stipulated elections,69,1000,20,290,49,71 0,25,36 2
Expedited elections,o,,o,,o,,o,
Regional Director-directed elections,20,100 0,4,200,16,800,2,100
Board-directed elections,0,,0,,0,,0,
