row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,411i,E,E.,F.EIER',k',E iR,k,g
,ill,as,E,"En""'",n,ER,E,a
,iAll,0,m,",... e ,,, E .",i,00,,",..' -,...;"
,ii,P,P M,"EUI*A° ""4",1 4,2 0,°,n 2
,01,E,E 4,RREEE' .-7 4,R .,ER,A,'^ i
,i,• R,E 4,MEE' --a,a • ..,"RE ,",E 4,f g
,410,E,V d,"fi n f n= .,;..e.1 1",g,= E 5.:,E 4,e 4 i4
,"Z A ,,.' a",i,4 =,ERRER A 44;1 -.,f g,i4 .4-,P ..;,"en, R"
1.51421111 z 1,1.51421111 z 1,'°,8,sTrn-,Li,R*,A,5
,ill,_,,mvag■00,g,1 . -0,IN,g
,b il,0,■,0■m■00,"..,",00,0,n
,iii Fli,,A,A N 2 0-0,A,* 0,,f
,.401,,2,A = A* . * 0,R,.....2,,n
,II 1,,P,2PR' m °,g,n-,P,IS 1-..
441,441,I,&,gsinn-,g,A°,P .,1
