row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
. All representation elec- tions,88,100.0,29,33,59,67.0,31,35.2
By type of case:,,,,,,,,
RC cases,83,100.0,28,33.7,55,66.3,30,36.1
. RMcases,1,100.0,0,,1,100.0,0,
RD cases,4,100.0,1,25.0,3,75.0,1,25.0
By type of election:,,,,,,,,
Consent elections,1,100.0,0,,1,100.0,0,
Stipulated elections,63,100.0,20,31.7,43,68.3,21,33.3
Expedited elections,0,,0,,0,,0,
Regional Director-directed elections,24,100.0,9,37.5,15,62.5,10,41.7
Board-directed elections,0,,0,,0,,0,
