row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1936,22,9,71.0,29.0,"6,162 142,428","1,410 21,707",81.4 86.8,18.6 13.2
1937,250,15,94.3,6.7,,,,
1938,945,207,82.0,18.0,282470,81117,82.2,17.8
1989 ',574,172,76.9,23.1,138032,39183,77.9,22.1
1940,921,271,77.3,22.7,435842,96513,81.9,18.1
IOU,2127,441,82.8,17.2,589921,140012,50.8,19.2
1942,3636,676,86.3,13.7,895091,171946,83.9,16.1
1943,3580,573,36.2,13.6,923169,203332,82.0,18.0
1944,3983,729,84.5,15.5,828583,244011,77.3,22.7
1945,4078,841,82.9,17.1,703569,187189,79.1,20.9
1946,4446,1143,79.5,20.5,529847,168965,- 75.8,24.2
1947,5194,1726,75.1,24.9,621732,183742,77.2,22.8
"July 1-Aug. 21, 1947",354,156,69.4,50.6,45988,12.174,79.1,20.9
